name,age,overall,potential,position,pace,shooting,passing,dribbling,defending,physical,total_stats,value
Coutinho,29,82,82,4,69,79,80,88,52,59,2086,30.0
S. Botman,21,79,85,2,60,36,59,61,80,84,1736,25.5
D. Vlahović,21,80,86,4,75,82,60,74,28,77,1827,34.0
K. Trippier,30,84,84,2,73,63,82,77,80,72,2183,36.5
J. Cajuste,21,72,79,3,77,58,68,75,68,77,1930,4.7
A. Pululu,22,68,79,3,88,62,57,72,26,65,1652,2.7
A. Tchouaméni,21,80,87,3,72,69,77,78,78,81,2104,42.5
M. Cornet,24,77,80,4,86,76,71,76,67,77,2117,14.5
J. Álvarez,21,78,87,4,84,80,74,80,52,72,2099,32.0
Gavi,16,70,86,4,72,55,71,74,55,58,1789,4.0
Y. Moukoko,16,69,89,4,84,68,53,76,32,60,1725,3.8
L. Díaz,24,82,86,3,92,79,72,84,32,71,1977,43.5
D. Fofana,18,63,81,4,86,59,50,67,22,67,1621,1.2
Wesley,24,75,79,4,65,76,67,70,38,82,1833,8.0
C. De Ketelaere,20,76,86,4,76,74,76,78,56,73,2028,16.5
A. Ouattara Mohammed,20,62,75,2,71,24,45,59,60,74,1486,0.9
A. Isak,21,82,86,4,84,82,69,80,29,69,1918,45.0
J. Ramsey,20,70,84,4,68,60,64,73,57,67,1776,3.8
Rafael Leão,22,78,86,3,88,75,69,81,27,71,1883,31.5
E. Haaland,20,88,94,4,89,91,65,81,45,88,2112,143.5
O. Pineda,25,77,80,4,83,74,72,80,62,66,2047,14.0
Ferran Torres,21,82,90,4,82,79,78,83,35,65,1996,68.5
C. Boyd-Munce,21,56,66,4,63,52,55,53,45,61,1553,0.325
C. Bakambu,30,80,80,4,90,79,70,76,36,77,1997,20.5
K. Adeyemi,19,73,86,3,92,74,66,77,24,66,1867,7.5
J. Bellingham,18,80,89,3,75,72,74,81,77,79,2129,44.5
L. Digne,27,83,83,2,79,69,80,80,78,76,2217,35.0
Bruno Guimarães,23,80,85,3,67,63,78,78,75,76,2066,29.0
N. Madueke,19,77,88,4,90,71,68,83,36,62,1897,23.0
