name,overall,position,value,value_predicted,difference
Cristiano Ronaldo,91,4,44.99999999999999,76.37940671322976,-31.379406713229763
L. Bonucci,85,2,17.500000000000004,23.088993094038123,-5.58899309403812
Adán,81,1,4.4,8.525088707370836,-4.1250887073708356
H. Elliott,73,4,6.999999999999999,11.065832300117533,-4.065832300117534
F. Muslera,80,1,2.3,6.343536154371834,-4.043536154371834
A. Velasco,75,4,12.0,15.872483513381889,-3.872483513381889
Prazeracinho,78,4,16.5,20.085315715709704,-3.5853157157097044
M. Olise,73,4,6.499999999999999,9.878283898174782,-3.378283898174783
D. Samek,70,4,3.1,6.451552494691252,-3.351552494691252
Gavi,70,4,4.0,7.3038787361849336,-3.3038787361849336
F. Kessié,84,3,49.500000000000014,52.64240044097924,-3.142400440979223
F. Armani,80,1,3.5999999999999996,6.6024311039528705,-3.002431103952871
E. Wahi,71,4,4.0,6.993683839164217,-2.993683839164217
Rúben Dias,88,2,111.5,114.40779551831116,-2.9077955183111612
Raúl Albiol,82,2,7.999999999999998,10.899800229367472,-2.8998002293674734
N. Mbuku,72,3,4.999999999999999,7.6925318598567305,-2.6925318598567314
Francés,71,2,4.1,6.677689783494577,-2.577689783494577
A. Truffert,74,2,8.5,10.972563830192698,-2.4725638301926978
B. Brobbey,73,4,7.499999999999999,9.864436571897409,-2.36443657189741
Fer Niño,73,4,6.499999999999999,8.835283597558243,-2.335283597558244
F. Kadioglu,72,3,3.5999999999999996,5.911406219299245,-2.3114062192992453
C. Tzolis,74,3,10.000000000000002,12.31060356352327,-2.3106035635232676
V. Castellanos,75,4,7.999999999999998,10.217737146053423,-2.217737146053425
P. Sarr,70,4,3.7000000000000006,5.769901753011907,-2.0699017530119064
P. Hincapié,71,2,3.8,5.8674718468648495,-2.0674718468648496
Moleiro,69,4,3.2,5.19759074363402,-1.99759074363402
Francisco Conceição,70,4,4.0,5.942420132078772,-1.9424201320787722
M. Cuisance,73,4,6.0,7.863219388971304,-1.863219388971304
T. Chancalay,75,3,8.5,10.346303749095819,-1.846303749095819
J. Bogle,72,3,4.9,6.719405480178891,-1.819405480178891
N. Raskin,71,3,4.1,5.835823171960701,-1.7358231719607016
J. Dina Ebimbe,72,3,4.999999999999999,6.62256938182998,-1.6225693818299805
J. Hernández,75,4,9.000000000000002,10.613031656629957,-1.6130316566299552
K. Danso,74,2,6.0,7.595174556528068,-1.5951745565280682
L. Dimata,74,4,6.0,7.593262589968371,-1.5932625899683712
S. Biuk,69,3,3.2,4.7916853632794805,-1.5916853632794803
E. Matazo,70,3,3.4,4.988030599541514,-1.5880305995415145
S. Giménez,71,4,4.5,5.982439686386252,-1.4824396863862521
F. Coman,72,4,3.7000000000000006,5.178561571655453,-1.4785615716554523
K. Jakić,74,3,4.999999999999999,6.471229561367836,-1.4712295613678368
Lucas Leiva,80,3,6.999999999999999,8.456842286319056,-1.4568422863190564
B. Kamara,81,3,36.50000000000001,37.95365902309393,-1.4536590230939197
A. Yusuf,71,3,4.3,5.732029470412593,-1.4320294704125933
J. López,71,4,4.5,5.894246517631961,-1.3942465176319612
Nico Melamed,74,4,9.500000000000002,10.889442297999581,-1.3894422979995795
M. Chouiar,70,4,2.2,3.576264442269114,-1.3762644422691137
Dante,77,2,1.9,3.273417457367667,-1.3734174573676672
Sergio Gómez,70,4,3.3,4.669924015059483,-1.3699240150594836
Kangin Lee,74,4,9.500000000000002,10.869399579508201,-1.3693995795081992
W. Faríñez,73,1,3.5,4.864047037820997,-1.3640470378209972
Paulo Victor,75,1,0.95,2.310079989788398,-1.360079989788398
G. Taylor,72,2,3.5,4.845043119144841,-1.345043119144841
M. Gueye,71,4,2.7,4.0373362272799,-1.3373362272798994
Thierry Correia,74,2,6.499999999999999,7.794989537091765,-1.294989537091766
Blanco,71,3,4.5,5.794480958193249,-1.2944809581932493
R. Pasveer,75,1,0.625,1.911207506735062,-1.286207506735062
J. Vagnoman,71,2,3.8999999999999995,5.17424759850526,-1.2742475985052604
M. Bulat,69,4,3.3,4.56996229837362,-1.2699622983736205
T. Awoniyi,75,4,7.999999999999998,9.252335589972727,-1.2523355899727289
M. Vitík,69,2,3.0000000000000004,4.251868812823146,-1.2518688128231452
O. Ejaria,72,4,3.5,4.746655424256767,-1.2466554242567671
L. Gueye,71,4,3.0000000000000004,4.246031895692198,-1.2460318956921976
K. Diks,73,2,3.8,5.043207929907761,-1.2432079299077614
M. Hasebe,76,3,1.5,2.735370474023348,-1.2353704740233482
D. Godín,78,2,3.7000000000000006,4.921454992224615,-1.2214549922246145
Y. Karamoh,76,3,11.000000000000002,12.21417274932298,-1.2141727493229784
T. Vermaelen,75,2,1.5,2.7042100343620037,-1.2042100343620037
E. Mor,72,4,3.7000000000000006,4.90387595694574,-1.2038759569457391
Artur,73,3,3.4,4.599831548729042,-1.1998315487290419
J. Cajuste,72,3,4.7,5.898941783674831,-1.1989417836748304
M. Wöber,74,2,6.0,7.1956320400351625,-1.1956320400351625
T. Ouwejan,74,3,5.5,6.6857096327432695,-1.1857096327432695
P. Diop,77,3,3.0000000000000004,4.168800004940028,-1.1688000049400276
M. Bayo,74,4,6.499999999999999,7.6629555104795495,-1.1629555104795504
A. Varela,69,3,3.1,4.225263782504251,-1.1252637825042506
J. Serra,71,4,2.9,4.0201378727067025,-1.1201378727067026
C. Michelin,73,2,4.1,5.205287271893955,-1.105287271893955
K. Miyoshi,73,4,4.6,5.683503945144992,-1.083503945144992
Douglas Augusto,72,3,3.3,4.383348127855522,-1.0833481278555226
M. Andersen,70,3,2.5,3.5770121813297155,-1.0770121813297155
A. Kolarov,77,2,3.2,4.272792882152884,-1.0727928821528838
Iván Azón,68,4,2.8,3.870292451086689,-1.0702924510866891
S. Alexandropoulos,69,3,3.1,4.167528516307782,-1.0675285163077821
N. Dorsch,75,3,7.999999999999998,9.066260072440494,-1.066260072440496
V. Gyökeres,71,4,3.0000000000000004,4.064616153704214,-1.0646161537042134
F. Onyeka,75,3,7.999999999999998,9.037973982260048,-1.0379739822600502
San Emeterio,72,2,3.4,4.429135220899839,-1.0291352208998394
Fábio Vieira,72,4,6.0,7.026000226428679,-1.0260002264286792
O. Kossounou,74,2,8.5,9.500495132138226,-1.0004951321382265
M. Guéhi,74,2,8.5,9.497884746245006,-0.9978847462450062
D. Subašić,73,1,0.3499999999999999,1.346121710014241,-0.9961217100142412
A. Theate,71,2,3.8999999999999995,4.891308744023613,-0.9913087440236135
M. Debuchy,75,2,1.7,2.689226478371443,-0.9892264783714431
Domingos Quina,71,4,4.2,5.183411275745963,-0.9834112757459632
D. Sinkgraven,75,2,6.0,6.9690145692848136,-0.9690145692848136
M. Estève,69,2,2.8,3.7390869678243486,-0.9390869678243488
Sancet,73,4,6.999999999999999,7.934878090407488,-0.9348780904074889
S. Lončar,71,3,2.6,3.5270509833563177,-0.9270509833563176
K. Mitoma,73,4,4.6,5.516972241936911,-0.9169722419369117
Gonçalo Esteves,67,2,2.4,3.3086681753407023,-0.9086681753407024
Montero,70,2,2.3,3.203192190119182,-0.9031921901191824
I. Sissoko,75,3,7.999999999999998,8.902130625779021,-0.9021306257790229
D. Zeefuik,74,2,6.0,6.899128563360397,-0.8991285633603967
Quintillà,71,2,2.6,3.486070419358865,-0.8860704193588651
Í. Jóhannesson,67,4,2.4,3.281898343933323,-0.8818983439333232
A. Diallo,68,4,3.1,3.98133806318806,-0.8813380631880601
D. Cataldi,75,4,6.0,6.876124233938877,-0.8761242339388771
Antonio Sánchez,72,4,3.7000000000000006,4.5741899740315555,-0.8741899740315549
J. Lora,70,2,3.3,4.174000580111502,-0.8740005801115025
A. Hutchinson,74,3,0.825,1.6909115957303935,-0.8659115957303936
T. Lamptey,74,2,9.000000000000002,9.857978740086102,-0.8579787400861001
S. Janko,73,2,3.7000000000000006,4.557200275735529,-0.8572002757355288
M. Benassi,72,4,2.7,3.5538731658962375,-0.8538731658962373
A. Mowatt,73,3,3.7000000000000006,4.548144457016494,-0.8481444570164931
F. Kuruçuk,70,2,2.2,3.022956053122344,-0.8229560531223439
M. Mukhin,68,3,2.5,3.3203395107486617,-0.8203395107486617
F. Passlack,70,2,2.3,3.1132495695026488,-0.8132495695026489
J. Aribo,74,4,6.0,6.787126247181276,-0.7871262471812761
O. Solet,71,2,3.8999999999999995,4.671885723810616,-0.7718857238106169
M. Frey,74,4,4.7,5.468783632979041,-0.7687836329790407
I. Ugbo,71,4,3.8,4.568004512503313,-0.768004512503313
Y. Benzia,71,4,2.2,2.9647836645182615,-0.7647836645182613
A. Epureanu,72,2,0.75,1.5109583262648794,-0.7609583262648794
José Gragera,70,3,3.4,4.1596140728322695,-0.7596140728322696
M. Cancellieri,67,4,2.4,3.1490010407133595,-0.7490010407133596
K. Möhwald,73,3,3.2,3.9317975037170423,-0.7317975037170421
C. Richards,71,2,4.3,5.027231195571784,-0.7272311955717843
S. Muñoz,67,4,2.4,3.1249149228017283,-0.7249149228017284
T. Băluță,71,3,4.0,4.7177644763761695,-0.7177644763761695
A. Ueda,69,4,2.2,2.9093617923298614,-0.7093617923298612
Y. Sarı,71,4,3.8,4.509008988442427,-0.7090089884424273
M. Bola,70,2,2.2,2.9026985156579155,-0.7026985156579153
Song Min Kyu,70,4,3.5999999999999996,4.2906008973995835,-0.6906008973995839
B. Cufré,74,2,6.0,6.686184364164565,-0.6861843641645651
R. Dickie,73,2,3.8,4.483577460825876,-0.6835774608258758
O. Ntcham,71,4,2.7,3.3821471093262154,-0.6821471093262153
R. Sallai,75,4,7.499999999999999,8.177991655424043,-0.6779916554240435
H. Morita,73,3,3.5999999999999996,4.274582238502243,-0.6745822385022437
R. Nelson,72,3,5.5,6.172012719100162,-0.6720127191001621
Cantero,70,4,3.5999999999999996,4.271279968510355,-0.6712799685103557
Nazinho,66,2,1.9,2.5712618431272776,-0.6712618431272777
S. Davis,75,3,1.8,2.4687414742494367,-0.6687414742494366
A. Gunn,72,1,2.6,3.26420490504143,-0.66420490504143
A. Browne,72,3,3.0000000000000004,3.664141837593855,-0.6641418375938546
W. Caballero,73,1,0.3499999999999999,1.0080513236523463,-0.6580513236523464
M. Sarkaria,70,3,2.2,2.8490165273573953,-0.6490165273573951
Carlos Miguel,71,1,2.3,2.943655327421516,-0.643655327421516
O. Tymchyk,72,2,3.5,4.137869595780408,-0.6378695957804084
A. Schjelderup,65,4,1.8,2.4318184281954496,-0.6318184281954495
B. Zuculini,74,3,3.7000000000000006,4.331067101554635,-0.6310671015546343
F. Agu,70,3,3.4,4.029147127550948,-0.6291471275509477
J. Lindstrøm,72,4,6.0,6.628787787032176,-0.6287877870321763
Nacho Monreal,79,2,5.5,6.128083387792506,-0.6280833877925058
D. McNeil,77,4,17.0,17.62324752434521,-0.62324752434521
J. Graterol,72,1,3.0000000000000004,3.618990500934684,-0.6189905009346837
T. Chong,70,3,3.5999999999999996,4.213110046038886,-0.6131100460388863
Jordi Calavera,70,2,1.9,2.5095353709092874,-0.6095353709092874
