name,age,overall,potential,position,pace,shooting,passing,dribbling,defending,physical,total_stats,value
Coutinho,29,82,82,CAM,69,79,80,88,52,59,2086,€30M
S. Botman,21,79,85,CB,60,36,59,61,80,84,1736,€25.5M
D. Vlahović,21,80,86,ST,75,82,60,74,28,77,1827,€34M
K. Trippier,30,84,84,RB,73,63,82,77,80,72,2183,€36.5M
J. Cajuste,21,72,79,CM,77,58,68,75,68,77,1930,€4.7M
A. Pululu,22,68,79,LM,88,62,57,72,26,65,1652,€2.7M
A. Tchouaméni,21,80,87,CM,72,69,77,78,78,81,2104,€42.5M
J. Álvarez,21,78,87,CAM,84,80,74,80,52,72,2099,€32M
M. Cornet,24,77,80,ST,86,76,71,76,67,77,2117,€14.5M
Y. Moukoko,16,69,89,ST,84,68,53,76,32,60,1725,€3.8M
Gavi,16,70,86,CAM,72,55,71,74,55,58,1789,€4M
L. Díaz,24,82,86,RM,92,79,72,84,32,71,1977,€43.5M
D. Fofana,18,63,81,ST,86,59,50,67,22,67,1621,€1.2M
J. Ramsey,20,70,84,CAM,68,60,64,73,57,67,1776,€3.8M
C. De Ketelaere,20,76,86,CAM,76,74,76,78,56,73,2028,€16.5M
C. Boyd-Munce,21,56,66,CAM,63,52,55,53,45,61,1553,€325K
O. Pineda,25,77,80,CAM,83,74,72,80,62,66,2047,€14M
E. Haaland,20,88,94,ST,89,91,65,81,45,88,2112,€143.5M
A. Ouattara Mohammed,20,62,75,CB,71,24,45,59,60,74,1486,€900K
Wesley,24,75,79,ST,65,76,67,70,38,82,1833,€8M
A. Isak,21,82,86,ST,84,82,69,80,29,69,1918,€45M
Rafael Leão,22,78,86,RM,88,75,69,81,27,71,1883,€31.5M
C. Bakambu,30,80,80,ST,90,79,70,76,36,77,1997,€20.5M
Ferran Torres,21,82,90,CAM,82,79,78,83,35,65,1996,€68.5M
K. Adeyemi,19,73,86,LM,92,74,66,77,24,66,1867,€7.5M
Bruno Guimarães,23,80,85,CM,67,63,78,78,75,76,2066,€29M
B. Kamara,21,81,86,CDM,74,51,72,74,80,79,1983,€36.5M
S. Agüero,33,87,87,ST,71,89,75,87,33,68,2066,€51M
Ansu Fati,18,78,90,CAM,88,74,69,82,29,53,1835,€32.5M
F. Chiesa,23,84,90,RM,91,81,75,86,48,73,2064,€66.5M
R. Gravenberch,19,78,90,CAM,77,74,77,82,67,71,2072,€33M
Adama Traoré,25,78,81,RM,96,65,67,86,38,81,1910,€18.5M
J. Bellingham,18,80,89,CM,75,72,74,81,77,79,2129,€44.5M
M. Greenwood,19,79,90,CAM,84,80,73,79,40,67,1970,€38M
N. Madueke,19,77,88,CAM,90,71,68,83,36,62,1897,€23M
Vinícius Jr.,20,83,91,CAM,95,75,73,89,29,67,1960,€79.5M
M. Kean,21,79,87,ST,85,77,56,78,40,75,1875,€39.5M
F. Farías,18,74,86,CAM,86,72,70,81,39,70,1932,€10M
S. Dest,20,76,85,RM,87,59,72,81,67,66,1974,€15.5M
A. Maitland-Niles,23,75,80,RWB,81,63,70,77,71,72,1980,€8M
E. Hazard,30,85,85,LW,84,80,82,88,35,63,2055,€52M
J. Timber,20,78,88,CB,83,47,66,76,78,79,1925,€29M
K. Mbappé,22,91,95,ST,97,88,80,92,36,77,2175,€194M
R. Pepi,18,69,83,ST,65,68,52,66,37,63,1656,€3.3M
K. Kozłowski,17,68,85,CAM,74,58,62,75,59,67,1832,€3M
